id,compound_id,"origin","storage_form","maximum_quantity","storage_condition","contact_name","contact_address","contact_email","created_at","updated_at",export,"purity","description","spectra_details","delivery_time","stability",admin_user_id,"public_id","cas_number","taxonomy_class","taxonomy_family","experimental_logp","experimental_solubility","melting_point","food_of_origin","production_method_reference_text","production_method_reference_file_name","production_method_reference_content_type",production_method_reference_file_size,"production_method_reference_updated_at","elemental_formula","minimum_quantity","quantity_units","available_spectra","storage_conditions"
1,9021,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:11","2017-01-19 02:36:09",1,NULL,NULL,NULL,NULL,NULL,10,"PC000001","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
162,12592,"commercial","liquid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:28:57","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000162","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
163,3384,"commercial","liquid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:28:58","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000163","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
164,3909,"commercial","liquid","700","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:28:59","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000164","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
165,8323,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:28:59","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000165","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
166,11820,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:00","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000166","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
167,753,"commercial","liquid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:00","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000167","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
168,22416,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:01","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000168","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
169,12067,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:01","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000169","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
170,11844,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000170","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
171,22071,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000171","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
172,22034,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000172","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
173,22304,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000173","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
174,22057,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000174","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
175,22391,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:02","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000175","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
176,12533,"commercial","solid","6","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:03","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000176","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
177,4044,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:04","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000177","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
178,22225,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:04","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000178","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
179,5275,"commercial","liquid","200","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:04","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000179","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
180,22242,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:05","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000180","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
181,5118,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:05","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000181","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
182,21971,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:05","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000182","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
183,21973,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:05","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000183","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
184,12599,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:06","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000184","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
185,22490,"commercial","solid","10","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:07","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000185","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
186,5747,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:07","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000186","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
187,22555,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:07","2017-01-19 02:36:15",1,NULL,NULL,NULL,NULL,NULL,10,"PC000187","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
188,1512,"commercial","solid","200","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:07","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000188","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
189,4644,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:08","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000189","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
190,12194,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:08","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000190","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
191,22480,"commercial","solid","8","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:08","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000191","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
192,14736,"commercial","liquid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:08","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000192","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
193,22462,"commercial","solid","8","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000193","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
194,22470,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000194","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
195,21955,"commercial","solid","80","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000195","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
196,22337,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000196","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
197,22474,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000197","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
198,8862,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000198","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
199,22038,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000199","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
200,22280,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:10","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000200","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
201,11547,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:11","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000201","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
202,22841,"commercial","solid","10","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:11","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000202","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
203,316,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:11","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000203","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
204,22520,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:12","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000204","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
205,1783,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:12","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000205","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
206,22847,"commercial","solid","400","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:12","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000206","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
207,22514,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:12","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000207","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
208,21976,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:12","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000208","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
209,22065,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:13","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000209","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
210,567,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:13","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000210","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
211,736,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:13","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000211","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
212,12166,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:14","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000212","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
213,1497,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:15","2017-01-19 02:36:16",1,NULL,NULL,NULL,NULL,NULL,10,"PC000213","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
214,917,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:15","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000214","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
215,2257,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:16","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000215","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
216,1403,"commercial","solid","15","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000216","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
217,21966,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000217","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
218,22051,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000218","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
219,22463,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000219","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
220,22187,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000220","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
221,22417,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000221","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
222,474,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:17","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000222","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
223,22857,"commercial","solid","400","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:18","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000223","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
224,22370,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:18","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000224","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
225,8207,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:18","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000225","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
226,10536,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:19","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000226","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
227,22045,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:20","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000227","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
228,21964,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:29:20","2017-01-19 02:36:17",1,NULL,NULL,NULL,NULL,NULL,10,"PC000228","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
